DAUID,POP_2016,POP_DENSITY,LANDAREA
35200254,795,2913.2,0.27
35200255,529,2390.4,0.22
35200256,635,5507.4,0.12
35200260,456,3002,0.15
35200261,543,5512.7,0.1
35200262,525,5938.9,0.09
35200263,347,4185.8,0.08
35200264,503,6335,0.08
35200265,476,3251.4,0.15
35200266,604,3834.9,0.16
35200267,1136,8249.8,0.14
35200268,558,13643,0.04
35200269,698,7636.8,0.09
35200271,1705,17613.6,0.1
35200272,2502,17043.6,0.15
35200273,3292,70492.5,0.05
35200275,439,3008.9,0.15
35200278,392,2679.4,0.15
35200279,572,3676.1,0.16
35200280,961,15475,0.06
35200281,529,7700.1,0.07
35200284,912,19783.1,0.05
35200288,429,3957.6,0.11
35200289,618,2173.8,0.28
35200290,528,2964.6,0.18
35200291,582,3275.2,0.18
35200292,951,5385.1,0.18
35200293,2150,8269.2,0.26
35200294,470,2308.4,0.2
35200297,401,6973.9,0.06
35200298,1094,5157.9,0.21
35200300,1232,25040.7,0.05
35200301,404,2211.3,0.18
35200302,918,2975.7,0.31
35200303,250,5060.7,0.05
35200304,683,2658.6,0.26
35200305,622,3804.3,0.16
35200306,630,3989.9,0.16
35200307,289,6736.6,0.04
35200308,564,2335.4,0.24
35200309,635,3039.7,0.21
35200310,606,6385.7,0.09
35200313,0,0,0.29
35200315,996,11305.3,0.09
35200316,1542,34808.1,0.04
35200317,465,12236.8,0.04
35200318,396,12611.5,0.03
35200319,496,8566.5,0.06
35200320,926,12772.4,0.07
35200321,720,1903.8,0.38
35200322,374,3475.8,0.11
35200323,1148,5204,0.22
35200324,875,5775.6,0.15
35200325,309,10474.6,0.03
35200326,593,3527.7,0.17
35200327,318,7243.7,0.04
35200328,385,2675.5,0.14
35200329,378,812.7,0.47
35200330,461,886.7,0.52
35200331,377,2858.2,0.13
35200332,457,1360.9,0.34
35200333,458,2815,0.16
35200334,460,3435.4,0.13
35200335,481,3263.2,0.15
35200336,473,3440,0.14
35200337,482,3771.5,0.13
35200338,464,3426.9,0.14
35200339,658,9577.9,0.07
35200352,1361,21332.3,0.06
35200355,540,2934.8,0.18
35200357,518,3156.6,0.16
35200358,570,4285.7,0.13
35200359,503,3833.8,0.13
35200360,483,3773.4,0.13
35200361,386,3268.4,0.12
35200362,555,3606.2,0.15
35200363,517,2421.5,0.21
35200364,1594,8141,0.2
35200366,695,5899.8,0.12
35200368,348,4846.8,0.07
35200370,481,1582.2,0.3
35200371,565,1662.7,0.34
35200372,379,2128,0.18
35200373,322,1387.9,0.23
35200374,606,3942.7,0.15
35200375,327,9969.5,0.03
35200376,542,944.4,0.57
35200377,497,1344.3,0.37
35200378,304,2463.5,0.12
35200379,558,2719.3,0.21
35200380,596,3354,0.18
35200381,1089,8940.9,0.12
35200382,924,8006.9,0.12
35200383,570,4241.1,0.13
35200384,527,2502.4,0.21
35200385,330,3510.6,0.09
35200386,805,1722.7,0.47
35200387,441,3219,0.14
35200388,761,3601.5,0.21
35200389,961,555.8,1.73
35200391,369,3181,0.12
35200392,392,3951.6,0.1
35200393,890,1276.5,0.7
35200394,580,2756.7,0.21
35200395,480,1925.4,0.25
35200396,467,3258.9,0.14
35200397,914,2808,0.33
35200400,304,1324.6,0.23
35200401,449,2965.7,0.15
35200402,465,3154.7,0.15
35200404,470,9003.8,0.05
35200405,462,2885.7,0.16
35200406,389,4936.5,0.08
35200407,417,3144.8,0.13
35200408,517,3531.4,0.15
35200409,345,5778.9,0.06
35200410,1029,19750.5,0.05
35200411,753,8685.1,0.09
35200412,1675,20156.4,0.08
35200413,759,9222.4,0.08
35200414,1168,10998.1,0.11
35200415,527,1833.7,0.29
35200416,498,2736.3,0.18
35200417,1103,3225.1,0.34
35200418,1059,21700.8,0.05
35200420,794,5300.4,0.15
35200421,349,4943.3,0.07
35200422,539,2380.7,0.23
35200423,576,10786.5,0.05
35200426,474,5404.8,0.09
35200427,526,4816.8,0.11
35200428,470,5575.3,0.08
35200429,530,10515.9,0.05
35200430,621,3306.7,0.19
35200431,622,2925.7,0.21
35200432,377,3092.7,0.12
35200433,435,5099.6,0.09
35200434,461,3326.1,0.14
35200435,406,3503,0.12
35200436,647,5897.9,0.11
35200437,420,2902.6,0.14
35200438,582,2929,0.2
35200439,396,3886.2,0.1
35200440,500,4995,0.1
35200442,517,8379.3,0.06
35200443,521,6783.9,0.08
35200444,588,4957.8,0.12
35200445,384,1653.7,0.23
35200449,473,5712.6,0.08
35200450,422,2590.5,0.16
35200451,332,4317.3,0.08
35200452,626,582.8,1.07
35200453,670,2347.6,0.29
35200454,724,2667.6,0.27
35200455,407,3363.6,0.12
35200456,835,14347.1,0.06
35200459,328,3126.8,0.1
35200460,525,15129.7,0.03
35200463,548,9367.5,0.06
35200464,659,6222.9,0.11
35200465,663,4944.1,0.13
35200466,504,4124.4,0.12
35200467,652,4372.9,0.15
35200468,581,686,0.85
35200469,485,3834,0.13
35200470,575,4563.5,0.13
